id,playerID,season,gamesPlayed,gamesStarted,wins,losses,otLosses,goalsAgainst,goalsAgainstAvg,savePctg,shotsAgainst,shutouts,created_at,updated_at
141,8476932,20192020,1,1,0,1,0,2,2.038505,0.944,36,0,2024-06-11 02:47:50 UTC,2024-06-11 02:47:50 UTC
142,8476932,20202021,8,7,4,3,0,17,2.196855,0.926,230,1,2024-06-11 02:47:50 UTC,2024-06-11 02:47:50 UTC
143,8476932,20212022,28,23,12,8,3,67,2.668584,0.917182,809,3,2024-06-11 02:47:50 UTC,2024-06-11 02:47:50 UTC
144,8476932,20222023,19,12,5,6,0,51,3.73148,0.898785,494,0,2024-06-11 02:47:50 UTC,2024-06-11 02:47:50 UTC
145,8476932,20232024,27,24,16,7,2,51,2.031266,0.925439,684,2,2024-06-11 02:47:50 UTC,2024-06-11 02:47:50 UTC
146,8477831,20212022,2,1,0,1,0,5,3.106126,0.878049,41,0,2024-06-11 02:47:56 UTC,2024-06-11 02:47:56 UTC
147,8477831,20222023,37,35,24,6,3,92,2.641801,0.902851,947,1,2024-06-11 02:47:56 UTC,2024-06-11 02:47:56 UTC
148,8477831,20232024,8,8,4,1,2,23,3.163082,0.870056,177,1,2024-06-11 02:47:56 UTC,2024-06-11 02:47:56 UTC
149,8479496,20192020,48,48,24,17,6,138,2.965651,0.907,1478,2,2024-06-11 02:47:56 UTC,2024-06-11 02:47:56 UTC
150,8479496,20202021,15,12,4,7,1,36,2.899005,0.904,374,1,2024-06-11 02:47:56 UTC,2024-06-11 02:47:56 UTC
151,8479496,20202021,4,3,1,1,1,10,2.718828,0.888,89,0,2024-06-11 02:47:56 UTC,2024-06-11 02:47:56 UTC
152,8479496,20212022,17,12,6,3,4,49,3.572586,0.886311,431,0,2024-06-11 02:47:56 UTC,2024-06-11 02:47:56 UTC
153,8479496,20222023,21,18,9,8,1,50,2.674552,0.901186,506,0,2024-06-11 02:47:57 UTC,2024-06-11 02:47:57 UTC
154,8479496,20232024,24,22,13,6,3,49,2.154609,0.921095,621,3,2024-06-11 02:47:57 UTC,2024-06-11 02:47:57 UTC
155,8475660,20192020,26,22,12,10,1,63,2.634789,0.919,780,2,2024-06-11 02:47:57 UTC,2024-06-11 02:47:57 UTC
156,8475660,20202021,33,33,19,8,5,86,2.630707,0.915,1008,2,2024-06-11 02:47:57 UTC,2024-06-11 02:47:57 UTC
157,8475660,20212022,49,48,32,12,4,132,2.764993,0.91129,1488,3,2024-06-11 02:47:57 UTC,2024-06-11 02:47:57 UTC
158,8475660,20222023,36,32,17,14,2,95,2.927581,0.898396,935,1,2024-06-11 02:47:57 UTC,2024-06-11 02:47:57 UTC
159,8475660,20232024,54,52,27,20,6,130,2.503116,0.913423,1490,3,2024-06-11 02:47:57 UTC,2024-06-11 02:47:57 UTC
160,8470594,20192020,49,48,27,16,5,133,2.770737,0.905,1399,5,2024-06-11 02:48:04 UTC,2024-06-11 02:48:04 UTC
161,8470594,20202021,36,36,26,10,0,71,1.984534,0.928,989,6,2024-06-11 02:48:04 UTC,2024-06-11 02:48:04 UTC
162,8470594,20212022,45,45,19,21,5,129,2.946364,0.907725,1398,4,2024-06-11 02:48:04 UTC,2024-06-11 02:48:04 UTC
163,8470594,20212022,11,11,9,2,0,30,2.735978,0.91018,334,0,2024-06-11 02:48:04 UTC,2024-06-11 02:48:04 UTC
164,8470594,20222023,46,45,24,16,4,126,2.848226,0.907827,1367,2,2024-06-11 02:48:04 UTC,2024-06-11 02:48:04 UTC
165,8470594,20232024,40,36,17,15,5,111,2.98298,0.894886,1056,2,2024-06-11 02:48:04 UTC,2024-06-11 02:48:04 UTC
166,8479406,20202021,9,7,5,1,2,17,2.163003,0.933,254,0,2024-06-11 02:48:04 UTC,2024-06-11 02:48:04 UTC
167,8479406,20212022,18,16,5,12,1,62,3.551143,0.891986,574,0,2024-06-11 02:48:04 UTC,2024-06-11 02:48:04 UTC
168,8479406,20222023,39,37,22,9,7,81,2.103046,0.930946,1173,3,2024-06-11 02:48:04 UTC,2024-06-11 02:48:04 UTC
169,8479406,20232024,45,43,20,18,4,129,3.063466,0.899454,1283,3,2024-06-11 02:48:04 UTC,2024-06-11 02:48:04 UTC
170,8478470,20192020,14,9,5,5,1,39,3.339279,0.89,356,0,2024-06-11 02:48:12 UTC,2024-06-11 02:48:12 UTC
171,8478470,20212022,38,30,8,18,6,122,3.767726,0.891459,1124,1,2024-06-11 02:48:12 UTC,2024-06-11 02:48:12 UTC
172,8478470,20222023,40,39,16,19,3,133,3.419243,0.901115,1345,0,2024-06-11 02:48:12 UTC,2024-06-11 02:48:12 UTC
173,8478470,20232024,41,40,16,15,9,127,3.137395,0.902831,1307,0,2024-06-11 02:48:12 UTC,2024-06-11 02:48:12 UTC
174,8480051,20192020,2,2,1,1,0,5,2.518892,0.931,72,0,2024-06-11 02:48:12 UTC,2024-06-11 02:48:12 UTC
175,8480051,20202021,4,4,1,2,1,14,4.160475,0.849,93,0,2024-06-11 02:48:12 UTC,2024-06-11 02:48:12 UTC
176,8480051,20212022,12,9,1,7,1,40,4.622348,0.86755,302,0,2024-06-11 02:48:12 UTC,2024-06-11 02:48:12 UTC
177,8480051,20222023,3,2,0,2,0,8,3.46362,0.851852,54,0,2024-06-11 02:48:12 UTC,2024-06-11 02:48:12 UTC
178,8480051,20232024,23,21,8,9,4,66,2.989055,0.909713,731,2,2024-06-11 02:48:12 UTC,2024-06-11 02:48:12 UTC
179,8474596,20192020,24,21,12,6,3,48,2.150752,0.927,655,2,2024-06-11 02:48:20 UTC,2024-06-11 02:48:20 UTC
180,8474596,20202021,29,27,11,12,5,76,2.678257,0.907,817,0,2024-06-11 02:48:20 UTC,2024-06-11 02:48:20 UTC
181,8474596,20212022,35,35,9,20,4,107,3.296252,0.90472,1123,2,2024-06-11 02:48:20 UTC,2024-06-11 02:48:20 UTC
